"ASSET_PROP_REF","ASSET_NAME","ASSET_TOWN","BUILDING_YEAR_FROM","BUILDING_HEIGHT_MAX","BUILDING_CAR_PARKING_TOTAL","BUILDING_LOADING_DOCK_TOTAL","BUILDING_CROSS_DOCKED","BUILDING_HEATING","BUILDING_LIGHTING","BUILDING_SPRINKLERS","BUILDING_RACKING","BUILDING_AMBIENT","BUILDING_CHILLED","BUILDING_FROZEN","ASSET_DESCRIPTION","DEMISE_TOTAL_VACANT_SQF","DEMISE_TOTAL_VACANT_SQM","WH_TOTAL_VACANT_SQF","WH_TOTAL_VACANT_SQM","OFFICE_TOTAL_VACANT_SQF","OFFICE_TOTAL_VACANT_SQM","LOCATION_COUNTRY","LOCATION_LONGITUDE","LOCATION_LATITUDE"
"1208","Combs-la-Ville","COMBS LA VILLE","2005","9.6","430","46","No","Yes","Yes","Yes","No","No","No","No","Prime location in the Sénart logistics hub, the second largest logistics zone in Ile-de-France.  Very good road accessibility with the Francilienne N104 less than 1 km from the site. Major nearby cities include Paris: 33 km (21 miles) and Lille: 256 km (159 miles)

Mixed use site with light industrial (units N° 2 & 3) and logistics (unit N°1)

Modern buildings, built in 2002 by Pitch Promotion.

Clear eaves height of 9.6m in the warehouse area

Building 1 has the benefit of ICPE authorisations, dated 06/11/2013, for the rubrics: 1510 A, 2910-A2 NC, 2925 D. Buildings 2 and 3 currently have no ICPE authorisations.

Currently vacant units are 2 593 m² in building 1 and 2 060 m² in building 2.","22205.8587515786557242624355769072416179","2063","13896.153004502202879313041361990910775","1291","8309.70574707645284494939421491633084297","772","France","2.5509650000","48.6556250000"
"1209","Dietzenbach","Dietzenbach","2003","12","100","11","No","No","Yes","Yes","No","No","No","No","","70213.7844025316185918256391234724322821","6523.1","50655.8370677674802248916374544271302851","4706.1","19557.947334764138366934001669045301997","1817","Germany","8.8059930000","50.0242250000"
"1217","Ciempozuelos II - IE1","Ciempozuelos","2006","12","290","44","No","No","Yes","Yes","No","No","No","No","","68089.2122259021493398358574782131247927","6325.72","63133.7428841417123440355956794266216924","5865.34","4955.46934176043699580026179878650310037","460.38","Spain","-3.6530210000","40.1355140000"
"1236","Ottendorf-Okrilla","Ottendorf-Okrilla","1992","9","171","131","No","Yes","Yes","Yes","No","No","No","No","","55656.2993758786679627798376830301492701","5170.66","0","0","40644.3638613480387856592131548239187345","3776","Germany","13.8349910000","51.1768180000"
"1238","Nieder-Olm II, Am Giener 2","Nieder-Olm","1997","8.5","100","53","No","Yes","Yes","Yes","No","No","Yes","Yes","","12066.2955213376990144925789053383508743","1121","0","0","12066.2955213376990144925789053383508743","1121","Germany","8.1792530000","49.9120060000"
"1244","Alverca Buildings B+C","Alverca do Ribatejo","2006","9.5","306","84","Yes","No","Yes","No","No","No","No","No","Multifunctional warehouses with incorporated office areas in mezzanine. 
Modular growth possibilities located just 15 minutes away from Lisbon.","2378.81472811385502426660119364832787085","221","0","0","0","0","Portugal","-9.0452020000","38.8847610000"
"1269","Pont de Veyle (Macon)","PONT DE VEYLE","1974","12","98","61","No","No","Yes","Yes","Yes","No","No","No","The building is in Pont-de-Veyle, a town in the region of Ain, at the crossroads of A6 (Paris-Lyon) and A40 (Mâcon - Geneva). Pont-de-Veyle is 60km North of Lyon, 10km East of Mâcon and 30km from Bourg-en-Bresse. The warehouse includes 53 loading docks with sectional doors, 1 level door and 2 charging rooms. ICPE authorization: 1510; ICPE declaration: 2925/1432/1172.","359803.800527881592290315285520735998819","33427","340923.976848643123002697102291508998432","31673","11797.1988326370366814307461911247391242","1096","France","4.8928300000","46.2546230000"
"1306","Vilarodona","Tarragona","2008","11","255","154","No","No","Yes","No","No","No","No","No","Available from June 2019","183330.192077987234268365391539449413106","17032","175257.291416967364276510410113041060603","16282","8072.90066101986999185498142640835250288","750","Spain","1.3464390000","41.2954670000"
"1310","Minworth Central, MidPoint","Birmingham","1993","14.6","200","15","No","Yes","Yes","Yes","No","No","No","No","Minworth Central comprises a 164,311 sq ft (15,265 sq m) distribution/industrial facility which has just been extensively refurbished, together with expansion land. The building features 11 level access doors, 4 dock level doors and an eaves height up to 14.6m. The property is situated to the north east of Birmingham and within a few minutes of the M6, M6 Toll and M42 motorways. Minworth Central is strategically located within 5 miles of 11 motorway junctions and only 2 miles from the JLR Plant at Castle Bromwich. Both the established Midpoint Park and Prologis Park Midpoint are located immediately to the east of Minworth Central reinforcing the quality of this distribution location. For further details please go to: www.minworthcentral.com","164311","15265.05220051","136097","12643.87539077","28214","2621.17680974","UK","-1.7763070000","52.5209960000"
"1352","Coignieres 17 rue Osiers","COIGNIERES","1990","6","20","3","No","No","Yes","No","No","No","No","No","","53550.2410514318042793047101285087382691","4975","53550.2410514318042793047101285087382691","4975","0","0","France","1.9234600000","48.7419300000"
"1375","Lesquin","LESQUIN","1980","9.8","20","20","No","Yes","Yes","Yes","No","No","No","No","The building is located in Lesquin, about 8km Southeast of Lille. Lesquin has good connections via the Regional Transport Center and the airport of Lille Lesquin. The logistics building has a total area of 10,699 sqm. The warehouse includes 20 loading docks, 2 level accesses and a charging room. ICPE rubric: 1510.","63205.4302420115687895632679144931278626","5872","58383.2175804956997810952256757852053009","5424","0","0","France","3.1253700000","50.5806400000"
"1380","Ormes Kensington","ORMES","1977","10","120","94","No","Yes","Yes","Yes","Yes","No","No","No","","13088.8629384002158801275432193500755247","1216","4025.68646296190850260501740463563178144","374","9063.17647543830737752252581471444374324","842","France","1.8259100000","47.9440300000"
"1415","Bönen","Bönen","1978","8","20","50","No","Yes","Yes","Yes","No","No","No","No","","194535.37819548281381706010575930420638","18073","174105.557589328529491005766096206802312","16175","18320.1025667410916348495711836626879465","1702","Germany","7.7579020000","51.6111520000"
"1418","Essen","Essen","1961","8","60","28","No","Yes","Yes","No","No","No","No","No","Located to the north of Essen, this asset benefits from a direct motorway connection to the Essen/Gladbeck A42 exit, near to the 224 federal highway. The warehouse has 13 fire sections (segmented from 900 sqm to 2,200 sqm) with a clear height of 8m.
 The asset comprises the following units: 

 17,154 sqm  (available 1/10/2016)
 6,364 sqm    (availble 1/1/2017)","7007.2777737652471529301238781224499725","651","0","0","7007.2777737652471529301238781224499725","651","Germany","6.9989260000","51.4955630000"
"1419","Freiburg","Freiburg","1988","6","80","4","No","Yes","Yes","No","No","No","No","No","","13497.8899052252226263815289449547653848","1254","4596.17144300731264869610275876848869164","427","6253.80704540339262035699227832433707224","581","Germany","7.8412200000","48.0312370000"
"1420","Freystadt","Freystadt","1997","7","6","18","No","Yes","Yes","Yes","No","No","No","No","","13648.5840508975935328961552649143879649","1268","0","0","13648.5840508975935328961552649143879649","1268","Germany","11.3496380000","49.2049970000"
"1430","Nürnberg II","Nürnberg","1990","8","150","96","No","Yes","Yes","Yes","No","No","No","No","","15112.4700374291966247525252302364358854","1404","0","0","9827.41107134818840341813072308110111351","913","Germany","11.0484360000","49.3999540000"
"1440","Warszawa","Warsaw","2004","10","120","29","No","Yes","Yes","No","Yes","No","No","No","Lopuszanska - Current total vacancy in this building is: warehouse: 5 434 sqm; office: 3 794 sqm","130447.095537182112045187577076019061087","12118.98","79746.9113351167626678073495902895275857","7408.76","50700.1842020653493773802274857295335015","4710.22","Poland","20.9414590000","52.1955980000"
"1444","Timisoara","Timisoara","2008","10","54","38","No","Yes","Yes","Yes","No","No","No","No","Logicor Timişoara is situated in west part of Romania, in Remetea Mare, at 10 km east from Timisoara on DN6/E70 road to Lugoj. Park lays only 5 minutes drive from A1 motorway. Thanks to vicinity of Hungarian and Serbian border the facility is ideal for cross-border logistics. Additionally park is in proximity of Traian Vuia Airport. Offered space is available from now.","16954.167774896529632227708326314394703","1575.1","0","0","16943.4039073485031389052350177458502331","1574.1","Romania","21.3779800000","45.7816530000"
"1449","Shark Park","Budapest","2003","11","198","44","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Logicor Shark is part of the Euro-Business Park, which is situated 9 kilometres west from the centre of Budapest and is in close vicinity to the junction of M1/M7 and M0 highways. The drive from the park to M1 motorway takes only 5 minutes. Close distance to Hungarian capital centre provides easy access to public transport and skilled workforce.","22119.1019791415621880833007098447731897","2054.94","6446.9108292149879105621634340440248641","598.94","15672.1911499265742775211372758007483256","1456","Hungary","18.9642210000","47.4455270000"
"1450","West Gate","Budapest","2001","12","363","30","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"," Logicor West Gate is located 15 kilometres west from Budapest centre, on the MI motorway at the Tórokbalint exit. The park is situated in the triangle of M l-M7-MO motorways and offers excellent road access to all of Hungary and much of the Central European market. The adjacent Lake Torokbalint offers a peaceful environment for tenants. Park is well served by the 88 and 272 bus routes. Offered space is whole building D. Offered space is office located in Building G.","82506.2287810533542310233822418359024711","7665.11","21930.1961036736972302738941444668177411","2037.39","60576.0326773796570007494880973690847301","5627.72","Hungary","18.9016620000","47.4537640000"
"1643","Interlink 225","Bardon","2016","12","174","22","No","No","No","No","No","No","No","No","225 at Interlink is located 1.5 miles from J22 of the M1 at the heart of the Golden Triangle. Local occupiers include Laura Ashley, Kuehne + Nagel, CEVA, Nestle, Brantano, Antalis, Benson Box and Bunzl. This building has been constructed to BREEAM 'Excellent' standards and EPC 'A' rating and benefits from 12m eaves and a 60m yard. For further details please go to: www.225atinterlink.info","224965","20900.01563065","213738","19856.98904658","11227","1043.02658407","UK","-1.3283490000","52.7007250000"
"C9102","Vuosaaren Logistiikkakeskus Koy","HELSINKI","2008","9","210","150","Yes","Yes","No","No","No","No","No","No","Vuosaaren Logistiikkakeskus  comprises a 64 500 sqm modern warehouse complex locating in the Vuosaari Harbour, Helsinki. The buildings features 136 loading doors and clear heights from 6 to 9 m. Vacant spaces are up to 30 000 sq m. The property is situated in Vuosaari Harbour to the east of Helsinki and within a few minutes of the E18 and E75 motorways and Ring Roads 103 and 101.","271292.517680459737699617269161594821977","25204","262767.534582422754988218408775307601734","24412","8524.98309803698271139886038628722024305","792","Finland","25.1744220000","60.2193910000"
